1,Timestamp,Org,Title / Role,Old Level,New Level,Location,Rating,Unvested RSUs,Old Base,Promoted?,New Base,Base Increase,RSU Grant,Bonus,Total YoE,YoE @ Apple,Details
42,9/18/2024 7:02:32,Ops,Gsm,Ic4,Ic4,Cupertino/SCV,7,"$192,000","$325,000",N,"$198,000",3,"$100,000","$23,000",11,6,
43,9/18/2024 7:40:34,Services,Software Dev,ICT3,ICT4,Seattle,8,"$160,000","$210,000",Y,"$180,000",12,"$175,000","$20,000",5,5,
44,9/18/2024 8:21:19,SWE,Software Engineer,ICT5,ICT5,Cupertino/SCV,7,"$246,880","$609,000",N,"$255,880",3.65,"$200,000","$48,000",14,10,
45,9/18/2024 8:28:27,AIML,Machine Learning Research Scientist,ICT5,ICT5,Seattle,9,"$242,000","$950,000",N,"$250,000",4,"$300,000","$60,000",20,4,
46,9/18/2024 10:41:47,HWT,System Engineer,ICT3,ICT4,Cupertino/SCV,8,"$173,000","$260,000",Y,"$195,000",13,"$200,000","$22,000",3,3,
47,9/18/2024 11:21:17,HWT,ASIC design,ICT5,ICT5,Cupertino/SCV,6,"$245,000","$510,000",N,"$252,000",3,"$180,000","$50,000",13,5,
48,9/18/2024 12:02:20,ASE,TPM,ICT4,ICT4,Cupertino/SCV,7,"$185,000","$240,000",N,"$193,000",4,"$125,000","$30,000",10,2,
49,9/18/2024 12:04:45,Support and service,Business Systems Analyst,IC3,IC3,Austin,6,"$107,000","$8,000",N,"$111,000",3.56,"$3,000","$3,000",4,4,
50,9/18/2024 12:14:14,HWE,RF,ICT3,ICT3,Austin,7,"$135,000","$100,000",N,"$140,000",3.8,"$65,000","$8,000",4,1,
51,9/18/2024 13:43:01,HWT,Hardware Eng,ICT4,ICT4,Austin,7,"$183,000","$193,000",N,"$189,918",3.5,"$95,000","$22,000",16,4,
52,9/18/2024 14:05:27,Services,Analyst,ICT3,ICT3,Cupertino/SCV,7,"$155,000","$165,000",N,"$160,000",3,"$50,000","$15,000",10,2,
53,9/18/2024 14:46:22,HWT,PACE,ICT5,ICT5,San Diego,7,"$220,000","$270,977",N,"$228,470",3.85,"$174,000","$35,000",18,1.3,
54,9/18/2024 14:53:49,HWT,Hardware Engineer,ICT4,ICT4,Cupertino/SCV,6,"$193,000","$365,000",N,"$198,790",3,"$100,000","$26,000",5,3,
55,9/18/2024 14:53:52,SWE,Software Engineer,ICT4,ICT4,San Diego,7,"$195,000","$204,000",N,"$202,000",3.32,"$95,000","$21,000",13,2,
56,9/18/2024 15:07:59,AIML,Senior SWE,ICT4,ICT4,Cupertino/SCV,6,"$187,000","$358,000",N,"$193,800",3.5,"$100,000","$20,000",4,4,
57,9/18/2024 15:19:04,Cafe Maks,Lead Meal Architect and Designer,IC2,IC2,Cupertino/SCV,6,"$75,000","$20,000",N,"$78,500",2,"$2,000",$50,10,2,
58,9/18/2024 15:19:41,ACE,Software QA Engineer,ICT3,ICT3,Cupertino/SCV,7,"$142,330","$184,874",N,"$148,806",4.55,"$75,000","$14,323",4,4,
59,9/18/2024 15:24:22,Ops,MLE,ICT4,ICT5,Austin,9,"$180,000","$410,000",Y,"$208,000",16,"$272,000","$30,000",4,4,
60,9/18/2024 15:37:33,HWT,SDET,ICT3,ICT3,Cupertino/SCV,7,"$158,000","$95,000",N,"$165,000",4,"$75,000","$13,500",6,1,
61,9/18/2024 15:42:10,HWT,Panel Design,ICT3,ICT3,Cupertino/SCV,6,"$155,000","$118,000",N,"$160,000",3.23,"$60,000","$12,000",5,2,
62,9/18/2024 16:08:33,HWT(SEG),DV Engineer,ICT4,ICT4,Cupertino/SCV,6,"$196,500","$280,000",N,"$203,000",3.3,"$100,000","$20,000",7,4,"RSU in thousands (100K ? $100,000)"
63,9/18/2024 16:26:05,HWE,Firmware Engineer,ICT4,ICT4,Cupertino/SCV,8,"$210,000","$460,000",N,"$218,000",3.8,"$145,000","$35,000",12,8,
64,9/18/2024 17:21:45,Services ( maps ),Engineering manager,M2,M2,Cupertino/SCV,7,"$255,000","$520,000",N,"$264,000",3.5,"$200,000","$50,000",20,7,
65,9/18/2024 17:21:58,Services,Software Engineer,ICT4,ICT4,Seattle,7,"$199,000","$350,000",N,"$206,000",3.5,"$100,000","$25,000",5,5,
66,9/18/2024 18:09:49,Ops,GSM,IC3,IC4,Cupertino/SCV,8,"$158,279","$217,761",Y,"$169,754",7.25,"$170,000","$18,000",9,2.5,
67,9/18/2024 18:24:41,Services,Senior software engineer,ICT4,ICT4,Cupertino/SCV,7,"$214,000","$400,000",N,"$221,000",3.5,"$145,000","$25,000",11,6,
68,9/18/2024 18:26:26,HWT,DV Engineeg,ICT3,ICT4,Austin,8,"$155,000","$225,000",Y,"$175,000",11.5,"$175,000","$20,000",6,3.5,
69,9/18/2024 18:53:25,AIS,Engineering Mgr,M2,M2,Cupertino/SCV,7,"$245,000","$550,000",N,"$255,000",3.75,"$175,000","$55,000",12,5,
70,9/18/2024 19:01:23,Ops,Software Engineer,ICT5,ICT5,Cupertino/SCV,8,"$245,000","$550,000",N,"$255,000",4,"$230,000","$50,000",17,6,
71,9/18/2024 19:22:52,Ops,Analyst,IC3,IC3,Austin,8,"$108,000","$73,000",N,"$112,000",4.38,"$29,000","$10,000",15,6,
72,9/18/2024 20:25:07,HWT,SWE,ICT4,ICT4,San Diego,7,"$183,000","$260,000",N,"$189,000",3.8,"$116,000","$21,000",10,2,
73,9/18/2024 20:58:48,ASE,Engineering Manager,M2,M2,Cupertino/SCV,6,"$252,000","$472,000",N,"$261,000",3.5,"$145,000","$40,000",13,4,
74,9/18/2024 21:57:48,HWT,Engineer,ICT5,ICT5,Cupertino/SCV,7,"$252,000","$620,000",N,"$260,500",3.35,"$200,000","$46,000",8,7,
75,9/18/2024 22:05:03,Services,Epm,ICT4,ICT4,Cupertino/SCV,8,"$230,000","$450,000",N,"$238,000",3.5,"$130,000","$36,000",10,3,
76,9/18/2024 22:29:25,Enclosure,GSM,ICT4,ICT4,Cupertino/SCV,6,"$186,000","$339,000",N,"$193,000",3,"$90,000","$18,600",15,3,
77,9/18/2024 22:47:53,HWT,MLE,ICT4,ICT5,Cupertino/SCV,8,"$232,000","$470,000",Y,"$250,000",7.85,"$290,000","$35,000",4,4,
78,9/19/2024 5:43:56,AppleCare,Project Manager,IC4,IC4,Austin,9,"$118,000","$76,000",N,"$124,100",5.08,"$64,000","$18,000",8,5,
79,9/19/2024 7:20:12,Services,Software Eng,ICT4,ICT4,Seattle,6,"$197,000","$300,000",N,"$202,000",3,"$96,000","$25,000",8,5,
80,9/19/2024 10:14:52,A sub-sub-org of WW OPS,ICT4,ICT4,ICT4,Cupertino/SCV,7,"$201,000","$230,000",N,"$208,000",3.5,"$116,000","$25,000",20,8,
81,9/19/2024 10:28:53,Office Resources,Snack Engineer,IC4,Ic4,Cupertino/SCV,6,"$90,000","$10,000",N,"$90,000",0,$0,$0,6,2,
82,9/19/2024 11:02:17,IS&T,Data Engineer,ICT3,ICT4,Austin,8,"$149,031","$182,804",Y,"$169,897",14,"$181,000","$20,900",11,2.8,
83,9/19/2024 11:09:40,HWT,RF,ICT3,ICT3,Cupertino/SCV,9,"$169,000","$210,000",N,"$176,000",3.85,"$115,000","$23,000",8,2,
84,9/19/2024 11:15:16,Services,Software Engineer,ICT4,ICT5,Cupertino/SCV,7,"$240,000","$450,000",Y,"$265,000",8.5,"$200,000","$35,000",15,5,
85,9/19/2024 11:31:05,WPC,Business Intel Analyst,IC4,IC4,Austin,6,"$156,370","$72,000",N,"$161,000",3,"$32,000","$10,000",6,3,
86,9/19/2024 11:47:06,PACE,DV engineer,ICT4,ICT4,Cupertino/SCV,7,"$215,036","$433,855",N,"$223,415",3.5,"$127,036","$25,882",14,2,
87,9/19/2024 11:50:55,HWT,Engineer,ICT5/M2,ICT6/M3,Cupertino/SCV,8,"$265,000","$678,000",Y,"$295,000",10,"$440,000","$62,000",22,7,
88,9/19/2024 12:46:51,VPG,Software Developer,IC3,IC3,Cupertino/SCV,6,"$165,000","$318,000",N,"$170,666",3.14,"$50,000","$10,000",6,3,
89,9/19/2024 12:52:49,HWT,Hardware Engineer,ICT4,ICT4,Cupertino/SCV,7,"$216,000","$358,000",N,"$223,000",3.5,"$126,500","$34,000",11,6,
90,9/19/2024 13:30:29,vpg,ict4 ar/vr engineer,ict3,ict4,Cupertino/SCV,8,"$174,000","$204,000",Y,"$194,000",11.5,"$190,000","$20,000",12,8,
91,9/19/2024 13:41:54,HWT,Display Engineer,ICT4,ICT4,Cupertino/SCV,8,"$191,000","$430,000",N,"$199,500",4.4,"$157,000","$32,000",4,4,
92,9/19/2024 14:07:21,IST,SWE,ICT4,ICT4,Austin,6,"$176,900","$296,700",N,"$182,300",3.08,"$90,500","$19,000",12,5.5,
93,9/19/2024 15:44:04,HWT,System Engineer,ICT4,ICT5,Cupertino/SCV,8,"$208,000","$488,000",Y,"$229,000",10,"$241,000",$30,10,7.5,Bonus in thousands?
94,9/19/2024 15:49:19,Hwt,Ict,Ict4,Ict4,Cupertino/SCV,8,"$210,000","$330,000",N,"$218,000",3.85,"$127,000","$30,000",12,6,
95,9/19/2024 15:53:50,Ops,PQE,ICT3,ICT3,Cupertino/SCV,7,"$142,511","$152,745",N,"$147,911",3.79,"$80,000","$14,000",7,4,
96,9/19/2024 16:06:13,Swe,Senior Software engineer,Ict5,Ict5,Cupertino/SCV,7,"$252,000","$520,000",N,"$261,000",3.3,"$160,000","$48,000",18,9,
97,9/19/2024 18:22:10,Is&t,Software Engineer,ICT4,ICT4,Austin,6,"$162,000","$315,000",N,"$168,000",3.5,"$100,000","$25,000",8,6,
98,9/19/2024 18:41:07,HW Tech,ASIC Design Engineer,ICT3,ICT3,Cupertino/SCV,7,"$160,776","$166,327",N,"$166,404",3.5,"$70,000","$18,000",5,5,
99,9/19/2024 20:24:17,HWT,Software engineer,ICT5,ICT5,San Diego,6,"$236,500","$700,000",N,"$242,500",2.8,"$155,000","$35,000",13,5,
100,9/19/2024 20:27:48,HWT,Embedded Software Engineer,ICT5,ICT5,Cupertino/SCV,7,"$248,676","$593,166",N,"$257,286",3.46,"$170,000","$50,000",11,9,
101,9/19/2024 20:54:57,SWE,Software Engineer,ICT4,ICT4,Cupertino/SCV,8,"$188,000","$436,000",N,"$197,000",4,"$340,000","$30,000",8,5,
102,9/19/2024 21:43:49,org,swe,ict4,ict4,Cupertino/SCV,5,"$220,000","$540,000",N,"$224,000",0,"$540,000",$0,3,2,
103,9/19/2024 22:00:40,HWT,Mixed signal design,ICT4,ICT4,Cupertino/SCV,7,"$201,500","$281,970",N,"$209,000",3.85,"$128,900","$26,000",10,2,
104,9/19/2024 22:24:47,HWE,Electrical Engineer,ICT4,ICT4,Cupertino/SCV,6,"$200,000","$400,000",N,"$205,000",2.8,"$85,000","$17,000",8,2,
105,9/19/2024 22:44:15,Ops,Software engineer,ICT3,ICT4,Cupertino/SCV,9,"$155,000","$250,000",Y,"$180,000",16,"$200,000","$20,000",5,3,
106,9/19/2024 23:31:38,Services,Software engineer,ICT4,ICT4,Cupertino/SCV,8,"$192,000","$340,000",N,"$200,000",4.5,"$145,000","$30,000",6,5,
107,9/19/2024 23:45:42,HWT,ASIC Design Engineer,ICT4,ICT4,Cupertino/SCV,7,"$210,545","$522,000",N,"$217,915",3.5,"$145,000","$32,000",8,8,
108,9/19/2024 23:46:39,HWT,SWE,ICT3,ICT3,San Diego,9,"$157,000","$224,000",N,"$165,000",4.7,"$100,000","$19,000",6,2.5,
109,9/19/2024 23:55:44,SEG,ASIC Engineer,IC5,IC5,Cupertino/SCV,6,"$238,000","$515,000",N,"$245,000",3,"$165,000","$38,000",12,12,
110,9/19/2024 23:57:35,SWE,MLE,ICT3,ICT4,Cupertino/SCV,9,"$165,000","$345,000",Y,"$197,000",20,"$350,000","$30,000",4,4,
111,9/20/2024 0:28:46,MD,GSM,ICT4,ICT4,Cupertino/SCV,7,"$181,457","$325,084",N,"$188,752",4.02,"$115,000","$23,874",9,5,
112,9/20/2024 1:51:38,SWE,Tools & Automation,ICT3,ICT3,Cupertino/SCV,7,"$153,000","$141,000",N,"$159,000",3.9,"$75,000","$17,000",2.5,2.5,
113,9/20/2024 5:27:39,HWT,ASIC Design Engineer,ICT4,ICT4,Cupertino/SCV,7,"$204,685","$355,143",N,"$210,836",3,"$132,000","$24,000",8,6,
114,9/20/2024 7:26:08,Ops,TPM,IC4,IC4,Cupertino/SCV,8,"$181,000","$400,000",N,"$187,000",3.7,"$140,000","$25,000",8,6,
115,9/20/2024 8:42:21,HWE,Product Design,ICT4,ICT4,Cupertino/SCV,8,"$210,000","$312,000",N,"$217,000",3.7,"$148,000","$43,000",17,4,
116,9/20/2024 8:54:31,SEG,Hardware Engineer,ICT4,ICT5,Cupertino/SCV,8,"$232,000","$550,000",Y,"$253,000",8,"$275,000","$42,000",13,3,
117,9/20/2024 9:09:29,Gssm,Gssm,Ic4,Ic4,Cupertino/SCV,6,"$158,900","$282,778",N,"$165,115",3.85,"$70,000","$16,500",7,3,
118,9/20/2024 10:27:36,HWT,PCB Design,ICT4,ICT4,San Diego,8,"$185,000","$350,000",N,"$193,000",4,"$130,000","$30,000",9,4,
119,9/20/2024 10:41:26,Ops,PM,IC4,IC4,Austin,8,"$142,026","$111,553",N,"$148,247",4.38,"$55,000","$17,000",12,11,
120,9/20/2024 11:22:32,SWE,Software Engineer,ICT4,ICT4,Cupertino/SCV,7,"$224,000","$87,016",N,"$231,437",3.32,"$84,000","$20,000",14,12,
121,9/20/2024 11:56:50,Services,Engineering Program Manager,ICT5,ICT5,Seattle,8,"$249,000","$640,000",N,"$258,000",3.5,"$194,000","$57,000",15,5,
122,9/20/2024 11:57:04,HWT,Cellular Engineer,ICT3,ICT3,Cupertino/SCV,7,"$172,000","$323,000",N,"$178,000",3.5,"$105,000","$25,000",5,2,
123,9/20/2024 11:57:14,HWT,Engineer,ICT3,ICT3,Cupertino/SCV,8,"$170,000","$210,000",N,"$176,000",3.5,"$100,000","$20,000",6,5,
124,9/20/2024 12:06:24,Services,Engineering Manager,ICT4,M2,Cupertino/SCV,8,"$198,000","$284,000",Y,"$224,000",13,"$235,000","$30,000",12,4,
125,9/20/2024 12:19:53,AIML,Staff Software Engineer,ICT5,ICT5,Seattle,6,"$250,000","$600,000",N,"$257,000",3,"$130,000","$35,000",15,3,
126,9/20/2024 12:33:42,HWE,Test,ICT2,ICT3,Austin,6,"$136,000","$42,000",Y,"$150,000",13,"$72,000","$5,300",4,2,
127,9/20/2024 13:40:48,SEG,HW Engineer,ICT5,ICT5,San Diego,6,"$242,000","$750,000",N,"$248,000",2.4,"$125,000","$32,000",17,2,
128,9/20/2024 13:44:50,Marcom,Designer,ICT3,ICT3,Cupertino/SCV,7,"$139,000","$140,000",N,"$144,000",3.5,"$60,000","$8,500",3.5,2,
129,9/20/2024 15:17:22,IS&T,TPM,ICT4,ICT4,Cupertino/SCV,7,"$191,000","$411,476",N,"$198,000",3.6,"$166,000","$38,000",8,8,
130,9/20/2024 15:44:23,SWE,Software Engineer,ICT3,ICT3,Cupertino/SCV,8,"$174,600","$220,000",N,"$180,711",3.5,"$105,000","$19,000",6,1.5,
131,9/20/2024 16:56:04,Ops,TPM,IC4,IC4,Cupertino/SCV,6,"$171,000","$178,000",N,"$177,000",3.5,"$100,000","$16,000",10,2.5,
132,9/20/2024 18:10:41,ACS,ICT5,IC5,IC5,Cupertino/SCV,8,"$269,000","$1,310,000",N,"$279,000",4,"$247,000","$61,000",18,2,
133,9/20/2024 18:13:47,AC,EPM,ICT4,ICT4,Cupertino/SCV,7,"$180,000","$140,000",N,"$187,000",4,"$91,000","$12,000",10,1,
134,9/20/2024 18:23:17,IS&T,Hardware Engineer,ICT5,ICT5,Other (if other please specify details below),7,"$192,500","$285,000",N,"$200,000",3.75,"$120,000","$30,000",12,2,
135,9/20/2024 19:18:02,HWT,Engineer,ICT4,ICT5,Cupertino/SCV,9,"$195,000","$450,000",Y,"$223,000",14,"$275,000","$35,000",12,6,
136,9/20/2024 19:16:03,SWE,Software Engineer,ICT4,ICT4,Cupertino/SCV,7,"$205,000","$312,000",N,"$211,000",3,"$110,000","$25,000",9,1,"Typo: too many 0s? (2110000 ? 211,000)"
137,9/20/2024 19:19:48,SWE,Software Engineer,ICT3,ICT3,Cupertino/SCV,7,"$151,000","$92,000",N,"$159,000",5,"$50,000","$16,000",6,1,
138,9/20/2024 19:47:02,Ops,GSM,IC4,IC5,Cupertino/SCV,8,"$170,000","$320,000",Y,"$185,000",9,"$250,000","$25,000",10,4,
139,9/20/2024 20:56:38,Services,Design,Ic5,Ic5,Culver City,8,"$215,000","$340,000",N,"$225,000",4,"$140,000","$40,000",15,2.5,
140,9/20/2024 23:06:17,HWT,Data Scientist,ICT4,ICT4,Cupertino/SCV,7,"$218,000","$376,518",N,"$225,800",3.5,"$130,000","$22,600",9.5,9.5,
141,9/20/2024 23:10:35,VPG,Software QA,ICT3,ICT3,Cupertino/SCV,8,"$150,000","$195,000",N,"$156,400",4.27,"$85,000","$18,000",2,2,
142,9/20/2024 23:49:11,ASE,Engineer,ICT5,ICT5,Cupertino/SCV,8,"$272,000","$1,350,000",N,"$281,200",3.8,"$272,000","$55,722",14,3,
143,9/21/2024 7:09:03,HWE,EPM,ICT4,ICT4,Cupertino/SCV,8,"$221,000","$450,000",N,"$228,000",3.2,"$140,000","$35,000",13,4,
144,9/21/2024 9:18:51,OPS,TechOPS,IC4,IC4,Cupertino/SCV,7,"$175,000","$200,000",N,"$181,000",3.4,"$100,000","$22,000",10,2.5,"Typo: too many 0s? (1810000 ? 181,000)"
145,9/21/2024 9:51:15,SEG,Engineer,ICT4,ICT4,Cupertino/SCV,7,"$191,000","$263,000",N,"$199,000",4.3,"$100,000","$21,000",14,9,
146,9/21/2024 10:16:42,Ops,ICT5,ICT5,ICT5,Cupertino/SCV,8,242000,500000,N,250000,3.3,220000,40000,20,6,
147,9/21/2024 11:16:07,HWT,SWE,ITC3,ITC4,Cupertino/SCV,8,175000,240000,Y,196009,12,190000,23000,9,4,
